# Logfile created on Tue Jan 03 22:13:21 CET 2006 by logger.rb/1.5.2.7
I, [2006-01-03T22:13:21.906624 #26646]  INFO -- : Beginning:
I, [2006-01-03T22:13:21.906986 #26646]  INFO -- :  Empty place: 15,14 contains: .
I, [2006-01-03T22:13:21.907429 #26646]  INFO -- :  Empty place: 15,13 contains: .
I, [2006-01-03T22:13:21.907598 #26646]  INFO -- :  Empty place: 28,14 contains: .
I, [2006-01-03T22:13:21.907929 #26646]  INFO -- :  Empty place: 29,9 contains: .
I, [2006-01-03T22:13:21.909096 #26646]  INFO -- :  Empty place: 29,7 contains: .
I, [2006-01-03T22:13:21.909276 #26646]  INFO -- :  Empty place: 32,7 contains: .
I, [2006-01-03T22:13:21.909540 #26646]  INFO -- :  Empty place: 28,14 contains: .
I, [2006-01-03T22:13:21.910491 #26646]  INFO -- :  Empty place: 29,11 contains: .
I, [2006-01-03T22:13:21.910681 #26646]  INFO -- :  Empty place: 24,14 contains: .
I, [2006-01-03T22:13:21.911167 #26646]  INFO -- :  Empty place: 29,11 contains: .
I, [2006-01-03T22:13:21.911385 #26646]  INFO -- :  Empty place: 25,20 contains: .
I, [2006-01-03T22:13:21.911521 #26646]  INFO -- :  Empty place: 23,11 contains: .
I, [2006-01-03T22:13:21.911743 #26646]  INFO -- :  Empty place: 23,11 contains: .
I, [2006-01-03T22:13:21.911921 #26646]  INFO -- :  Empty place: 27,22 contains: .
I, [2006-01-03T22:13:21.912103 #26646]  INFO -- :  Empty place: 15,13 contains: .
I, [2006-01-03T22:13:21.912407 #26646]  INFO -- :  Empty place: 22,11 contains: .
I, [2006-01-03T22:13:21.912632 #26646]  INFO -- :  Empty place: 14,13 contains: .
I, [2006-01-03T22:13:21.912921 #26646]  INFO -- :  Empty place: 30,21 contains: .
I, [2006-01-03T22:13:21.913175 #26646]  INFO -- :  Empty place: 26,14 contains: .
I, [2006-01-03T22:13:21.913464 #26646]  INFO -- :  Empty place: 22,10 contains: .
I, [2006-01-03T22:13:21.913738 #26646]  INFO -- :  Empty place: 14,14 contains: .
I, [2006-01-03T22:13:21.913957 #26646]  INFO -- :  Empty place: 29,18 contains: .
I, [2006-01-03T22:13:21.914276 #26646]  INFO -- :  Empty place: 29,20 contains: .
I, [2006-01-03T22:13:21.914461 #26646]  INFO -- :  Empty place: 17,10 contains: .
I, [2006-01-03T22:13:21.914641 #26646]  INFO -- :  Empty place: 9,13 contains: .
I, [2006-01-03T22:13:21.914845 #26646]  INFO -- :  Empty place: 18,12 contains: .
I, [2006-01-03T22:13:21.915066 #26646]  INFO -- :  Empty place: 25,14 contains: .
I, [2006-01-03T22:13:21.915212 #26646]  INFO -- :  Empty place: 9,9 contains: .
I, [2006-01-03T22:13:21.915490 #26646]  INFO -- :  Empty place: 29,7 contains: .
I, [2006-01-03T22:13:21.915657 #26646]  INFO -- :  Empty place: 33,12 contains: .
I, [2006-01-03T22:13:21.915984 #26646]  INFO -- :  Empty place: 29,9 contains: .
I, [2006-01-03T22:13:21.916272 #26646]  INFO -- :  Empty place: 38,8 contains: .
I, [2006-01-03T22:13:21.916638 #26646]  INFO -- :  Empty place: 14,12 contains: .
I, [2006-01-03T22:13:21.916885 #26646]  INFO -- :  Empty place: 28,18 contains: .
I, [2006-01-03T22:13:21.917103 #26646]  INFO -- :  Empty place: 29,11 contains: .
I, [2006-01-03T22:13:21.917313 #26646]  INFO -- :  Empty place: 26,17 contains: .
I, [2006-01-03T22:13:21.917517 #26646]  INFO -- :  Empty place: 23,21 contains: .
I, [2006-01-03T22:13:21.917697 #26646]  INFO -- :  Empty place: 23,21 contains: .
I, [2006-01-03T22:13:21.917990 #26646]  INFO -- :  Empty place: 31,11 contains: .
I, [2006-01-03T22:13:21.918160 #26646]  INFO -- :  Empty place: 18,12 contains: .
I, [2006-01-03T22:13:21.918372 #26646]  INFO -- :  Empty place: 6,13 contains: .
I, [2006-01-03T22:13:21.918574 #26646]  INFO -- :  Empty place: 24,11 contains: .
I, [2006-01-03T22:13:21.918881 #26646]  INFO -- :  Empty place: 23,21 contains: .
I, [2006-01-03T22:13:21.919064 #26646]  INFO -- :  Empty place: 29,7 contains: .
I, [2006-01-03T22:13:21.919352 #26646]  INFO -- :  Empty place: 29,5 contains: .
I, [2006-01-03T22:13:21.919510 #26646]  INFO -- :  Empty place: 18,12 contains: .
I, [2006-01-03T22:13:21.919803 #26646]  INFO -- :  Empty place: 21,14 contains: .
I, [2006-01-03T22:13:21.919950 #26646]  INFO -- :  Empty place: 33,15 contains: .
I, [2006-01-03T22:13:21.920195 #26646]  INFO -- :  Empty place: 29,20 contains: .
I, [2006-01-03T22:13:21.920358 #26646]  INFO -- :  Empty place: 23,21 contains: .
I, [2006-01-03T22:13:21.920578 #26646]  INFO -- :  Empty place: 21,14 contains: .
I, [2006-01-03T22:13:21.920752 #26646]  INFO -- :  Empty place: 38,5 contains: .
I, [2006-01-03T22:13:21.921505 #26646]  INFO -- :  Empty place: 43,7 contains: .
I, [2006-01-03T22:13:21.922004 #26646]  INFO -- :  Empty place: 14,14 contains: .
I, [2006-01-03T22:13:21.922210 #26646]  INFO -- :  Empty place: 17,17 contains: .
I, [2006-01-03T22:13:21.922432 #26646]  INFO -- :  Empty place: 40,7 contains: .
I, [2006-01-03T22:13:21.922915 #26646]  INFO -- :  Empty place: 6,9 contains: .
I, [2006-01-03T22:13:21.923059 #26646]  INFO -- :  Empty place: 9,10 contains: .
I, [2006-01-03T22:13:21.923212 #26646]  INFO -- :  Empty place: 7,13 contains: .
I, [2006-01-03T22:13:21.923467 #26646]  INFO -- :  Empty place: 31,11 contains: .
I, [2006-01-03T22:13:21.923634 #26646]  INFO -- :  Empty place: 26,5 contains: .
I, [2006-01-03T22:13:21.923817 #26646]  INFO -- :  Empty place: 6,10 contains: .
I, [2006-01-03T22:13:21.924131 #26646]  INFO -- :  Empty place: 24,12 contains: .
I, [2006-01-03T22:13:21.924332 #26646]  INFO -- :  Empty place: 33,15 contains: .
I, [2006-01-03T22:13:21.924588 #26646]  INFO -- :  Empty place: 34,16 contains: .
I, [2006-01-03T22:13:21.924847 #26646]  INFO -- :  Empty place: 11,13 contains: .
I, [2006-01-03T22:13:21.925033 #26646]  INFO -- :  Empty place: 16,14 contains: .
I, [2006-01-03T22:13:21.925217 #26646]  INFO -- :  Empty place: 26,3 contains: .
I, [2006-01-03T22:13:21.925483 #26646]  INFO -- :  Empty place: 16,13 contains: .
I, [2006-01-03T22:13:21.925658 #26646]  INFO -- :  Empty place: 19,10 contains: .
I, [2006-01-03T22:13:21.925777 #26646]  INFO -- :  Empty place: 16,10 contains: .
I, [2006-01-03T22:13:21.925981 #26646]  INFO -- :  Empty place: 34,14 contains: .
I, [2006-01-03T22:13:21.926282 #26646]  INFO -- :  Empty place: 38,7 contains: .
I, [2006-01-03T22:13:21.926488 #26646]  INFO -- :  Empty place: 8,13 contains: .
I, [2006-01-03T22:13:21.926671 #26646]  INFO -- :  Empty place: 23,9 contains: .
I, [2006-01-03T22:13:21.926927 #26646]  INFO -- :  Empty place: 29,6 contains: .
I, [2006-01-03T22:13:21.927124 #26646]  INFO -- :  Empty place: 21,14 contains: .
I, [2006-01-03T22:13:21.927312 #26646]  INFO -- :  Empty place: 35,15 contains: .
I, [2006-01-03T22:13:21.927646 #26646]  INFO -- :  Empty place: 26,3 contains: .
I, [2006-01-03T22:13:21.927821 #26646]  INFO -- :  Empty place: 24,12 contains: .
I, [2006-01-03T22:13:21.928114 #26646]  INFO -- :  Empty place: 29,18 contains: .
I, [2006-01-03T22:13:21.928424 #26646]  INFO -- :  Empty place: 9,10 contains: .
I, [2006-01-03T22:13:21.928597 #26646]  INFO -- :  Empty place: 37,9 contains: .
I, [2006-01-03T22:13:21.928826 #26646]  INFO -- :  Empty place: 16,7 contains: .
I, [2006-01-03T22:13:21.929049 #26646]  INFO -- :  Empty place: 17,16 contains: .
I, [2006-01-03T22:13:21.929372 #26646]  INFO -- :  Empty place: 6,9 contains: .
I, [2006-01-03T22:13:21.929628 #26646]  INFO -- :  Empty place: 23,21 contains: .
I, [2006-01-03T22:13:21.929916 #26646]  INFO -- :  Empty place: 42,13 contains: .
I, [2006-01-03T22:13:21.930201 #26646]  INFO -- :  Empty place: 23,5 contains: .
I, [2006-01-03T22:13:21.930375 #26646]  INFO -- :  Empty place: 9,10 contains: .
I, [2006-01-03T22:13:21.930563 #26646]  INFO -- :  Empty place: 16,14 contains: .
I, [2006-01-03T22:13:21.930798 #26646]  INFO -- :  Empty place: 17,16 contains: .
I, [2006-01-03T22:13:21.931092 #26646]  INFO -- :  Empty place: 17,17 contains: .
I, [2006-01-03T22:13:21.931313 #26646]  INFO -- :  Empty place: 16,7 contains: .
I, [2006-01-03T22:13:21.931517 #26646]  INFO -- :  Empty place: 42,19 contains: .
I, [2006-01-03T22:13:21.931699 #26646]  INFO -- :  Empty place: 44,17 contains: .
I, [2006-01-03T22:13:21.932111 #26646]  INFO -- :  Empty place: 6,10 contains: .
I, [2006-01-03T22:13:21.932402 #26646]  INFO -- :  Empty place: 31,18 contains: .
I, [2006-01-03T22:13:21.932611 #26646]  INFO -- :  Empty place: 6,9 contains: .
I, [2006-01-03T22:13:21.932810 #26646]  INFO -- :  Empty place: 26,3 contains: .
I, [2006-01-03T22:13:21.932955 #26646]  INFO -- :  Empty place: 11,7 contains: .
I, [2006-01-03T22:13:21.933220 #26646]  INFO -- :  Empty place: 17,16 contains: .
I, [2006-01-03T22:13:21.933629 #26646]  INFO -- :  Empty place: 42,14 contains: .
I, [2006-01-03T22:13:21.933831 #26646]  INFO -- :  Empty place: 51,17 contains: .
